alt[km], StaticPressure[kgf/m2] // title line
0,10322.0
1,9167.0
2,8106.0
3,7148.0
4,6291.0
5,5506.0
6,4813.0
7,4191.0
8,3640.0
9,3141.0
10,2702.2
11,2314.7
11.1,2281.0
12,1978.0
13,1692.0
14,1448.0
15,1233.0
16,1060.0
17,902.0
18,772.0
19,659.0
20,564.0
21,482.0
22,413.0
23,354.0
24,303.0
25,260.0
26,223.0
27,192.0
28,165.0
29,142.0
30,122.0
32.2,101.5
35,75.8
40,29.3
45,18.7
47.4,13.6
50,8.137
51,7.547
55,5.189
60,2.240
65,1.386
70,0.532
72,0.447
75,0.320
80,0.107
86,5.41e-2
90,1.88e-2
91,1.72e-2
100,3.26e-3
200,8.64e-6
300,8.98e-7